"id","section","requirement","spec_source","actual_state","compliance","gap_description","root_cause","replit_step","priority","test_fixture"
"P1.01","Verdict Hero","Verdict label distinguishes 'NOT ACTIONABLE AS STANDALONE' for family-owned 100% with no public path","Perfect Brief §Page1 / Delta row 1","Shows 'HOLD' for Nectar (subsidiary post-Ashley acquisition); never produces 'NOT ACTIONABLE AS STANDALONE'","FAIL","deriveCapitalDecision() does not detect family_concentrated_100pct case","brief.js deriveCapitalDecision() — missing family-owned-100% detection branch","Step 1 (Verdict & capital decision)","P1","MSC Cruceros, Patagonia"
"P1.02","Verdict Hero","Confidence forced to LOW when ≥2 warnings stack (no anchor + capture incomplete + wide spread + parent gap)","Perfect Brief §Page1 / Implementation Priority 2","Nectar PDF shows 'LOW' with explanation — escalation IS firing on this case","PASS","Working: 'Confidence forced to LOW: revenue range spread 2.2×, parent reconciliation gap -33%'","Already implemented","Step 2 (Confidence escalation rule)","P1","Nectar (validated), MSC Cruceros (to re-validate)"
"P1.03","Verdict Hero","Revenue shown as range first, central in parens: e.g. '$250M–$550M (central: $350M)'","Perfect Brief §Page1","Nectar PDF shows 'Revenue range: $250M–$550M (central: $350M)' — correct format","PASS","None — format matches spec","Already implemented","Step 4 (Hero composition)","P3","Nectar (validated)"
"P1.04","Verdict Hero","One-line capital-path summary visible in hero (e.g. 'Family-owned private · No public ticker · No M&A activity')","Perfect Brief §Page1","Nectar PDF shows 'Capital path: Actionable · default subsidiary' — generic placeholder","PARTIAL","Capital-path line exists but content is generic 'default subsidiary' instead of specific family/M&A/governance summary","brief.js capital_path summary generator — uses default fallback when not family_concentrated","Step 1 + Step 4","P1","MSC Cruceros"
"P1.05","Verdict Hero","'What Would Make This Actionable' block listing concrete unlock conditions","Perfect Brief §Page1","Not present in Nectar PDF","FAIL","Block missing entirely; verdict_changers exists in spec but not rendered to hero","generateBriefPDF page 1 layout — no verdict_changers preview block","Step 4 (Hero composition)","P3","MSC Cruceros, Patagonia"
"P1.06","Verdict Hero","Top-3 signals preview ON PAGE 1 with 'Read this as:' interpretation per signal","Perfect Brief §Page1","Nectar PDF shows 'TOP-3 SIGNALS' section with 3 signals + 'Read this as:' — implemented","PASS","None — structure matches spec","Already implemented","Step 4","P2","Nectar (validated)"
"P1.07","Verdict Hero (Thesis)","Thesis cites structural facts (ownership concentration, capital path), not mood adjectives","Perfect Brief Delta row 3 / Implementation Priority 2.6","Nectar PDF thesis: 'Nectar Sleep is a private subsidiary of Resident Home, which was acquired by Ashley Home in March 2024...' — cites structural facts ✓","PASS","None — thesis is structural, not filler","Already implemented","Step 3 (Forbidden phrases filter) + Step 4","P2","Nectar (validated), MSC Cruceros (to validate)"
"P1.08","Verdict Hero (Thesis)","Forbidden phrases filter blocks 'stable performance', 'operational metrics', 'cautious yet engaged investment stance', 'actionable capital decision'","Perfect Brief Delta row 3 / Task#55 Step 3","Unknown from Nectar output (thesis was structural so filter didn't need to fire); MSC Cruceros previously had 'stable performance' filler — needs MSC re-validation","PARTIAL","Filter may be present but unverified on MSC Cruceros (the original failure case)","brief.js forbidden_phrases list + retry mechanism","Step 3","P2","MSC Cruceros (regression)"
"P2.01","Behavioral Signals","Signal directional implications differentiated (+ / = / −), not all neutral","Perfect Brief §Page2 / Delta row 4","Nectar PDF signals show (=), (+), ("") — mix present. The ("") appears to be rendering of (−) character — encoding bug","PARTIAL","Logic produces differentiated implications but PDF rendering shows ("") for negative due to encoding/font issue","gen_pdfs.mjs — minus sign character not rendering in PDF font","Step 5 (Signal interpreter)","P3","Nectar (encoding bug visible)"
"P2.02","Behavioral Signals","Each signal carries 'Read this as:' strategic read that connects evidence to verdict","Perfect Brief §Page2","Nectar PDF shows 'Read this as:' for every signal with substantive interpretation ✓","PASS","None — pattern implemented","Already implemented","Step 5","P2","Nectar (validated)"
"P2.03","Behavioral Signals","Self-critical signal when sibling capture is incomplete/wrong-kind (e.g. only geographic variants captured)","Perfect Brief §Page2 Signal #5","Not visible in Nectar PDF (Nectar had complete sibling capture)","UNTESTED","Cannot validate without case where sibling capture is structurally incomplete","brief.js — self_aware_capture_signal generator","Step 6 (Self-aware capture signal)","P2","MSC Cruceros (0 siblings captured), Snickers (sparse Mars Wrigley siblings)"
"P2.04","Counter-Signals","Each counter-signal has 'Why this matters' field alongside search queries","Perfect Brief §Page2 / Delta row 5","Not visible in Nectar PDF (counter-signals section may not have rendered or not yet implemented)","FAIL","Counter-signals section appears absent from Nectar PDF; previous MSC PDF had categories but no why_matters","brief.js — counter_signal generator missing why_matters field","Step 7 (Counter-signal why_matters)","P2","MSC Cruceros, Toblerone"
"P2.05","Counter-Signals","Counter-signal categories include funding/hiring/capacity/pricing as standard buckets","Perfect Brief §Page2","Previously visible in MSC PDF, not in Nectar PDF (unclear if removed or just not rendered)","PARTIAL","Inconsistent rendering across runs; may be filtered out when 'no gaps detected'","gen_pdfs.mjs section visibility logic","Step 7","P3","MSC Cruceros (had 4 gaps), Nectar (gaps unclear)"
"P3.01","Corporate Structure","UBO Family node expands to detail table (name · role · est. stake) when family has ≥2 identifiable members","Perfect Brief §Page3 / Delta row 6","Not visible in Nectar PDF (only first 2 pages provided); previous MSC Cruceros run showed Aponte Family flattened","FAIL","UBO Family still aplastado as single node with '100% eq' instead of co_owners[] array","synth.js / ownership phase — co_owners array not populated for family UBOs","Step 8 (UBO Family expansion)","P1","MSC Cruceros (Aponte 4 members), Ray-Ban (Del Vecchio 8 heirs), Resident Home (Wanek family)"
"P3.02","Corporate Structure","Sibling capture distinguishes geographic variants (alias, not sibling) from product-tier variants (sibling)","Perfect Brief §Page3 / Delta row 8","Previous MSC Cruceros run captured 0 siblings (missed Explora Journeys); Nectar captured 4 siblings (mixed bag, not validated for variant type distinction)","FAIL","Heuristic to distinguish variants missing; Explora Journeys (product-tier) not captured for MSC Cruises","synth.js sibling installation heuristic + ownership phase capture rules","Step 9 (Sibling capture heuristic)","P1","MSC Cruceros (Explora Journeys), Awara Sleep (sibling installation bug)"
"P3.03","Corporate Structure","'Why this matters' succession note for family-owned (founder age, generation transition risk)","Perfect Brief §Page3","Not visible in Nectar PDF","FAIL","Family succession context not rendered","brief.js — family_succession_note generator missing","Step 8","P2","MSC Cruceros, Resident Home"
"P3.04","Corporate Structure","Short history note (founding → evolution → current state) for material chains","Perfect Brief §Page3","Not visible in Nectar PDF","FAIL","History note section not rendered","brief.js — history_note generator missing","Step 8","P3","MSC Cruceros (50-year arc), Toblerone (Kraft → split → Mondelez)"
"P4.01","Reconciliation","Two independent triangulation models shown side by side (e.g. market-share vs unit-economics)","Perfect Brief §Page4 / Delta row 7","Nectar PDF shows 'Sum of Siblings vs Parent Benchmark' single comparison; no dual-model triangulation","FAIL","Only one model (sum vs benchmark); no alternative triangulation model","brief.js — only one reconciliation model implemented; needs dual-model generator","Step 10 (Reconciliation dual-model)","P1","MSC Cruceros (market-share + passenger volume), Toblerone (segment + brand portfolio)"
"P4.02","Reconciliation","Misleading coverage metrics ('117% coverage', '68% parent coverage') REMOVED in favor of gap classification","Perfect Brief §Page4 / Delta row 7","Nectar PDF shows '-33%' delta with explicit direction; no '117%' style misleading metric","PASS","None — direction-explicit format adopted","Already implemented","Step 10","P3","Nectar (validated)"
"P4.03","Revenue Cascade","ASCII bar showing focal-division share of parent revenue with rising/falling narrative","Perfect Brief §Page4 / Delta row 7","Not visible in Nectar PDF (only verdict + signals pages provided)","UNKNOWN","Cannot validate from partial output","gen_pdfs.mjs — cascade bar rendering","Step 11 (Cascade visual)","P3","MSC Cruceros"
